;timestep;number;lifetime;total dissipation;spatial linear size
0;15019;0;1;1.0;0.0
1;15050;1;1;1.0;0.0
2;15066;2;2;2.0;1.0
3;15069;3;1;1.0;0.0
4;15077;4;1;1.0;0.0
5;15118;5;1;1.0;0.0
6;15122;6;1;1.0;0.0
7;15136;7;1;1.0;0.0
8;15150;8;2;2.0;1.0
9;15164;9;2;2.0;1.0
10;15171;10;1;1.0;0.0
11;15204;11;1;1.0;0.0
12;15210;12;1;1.0;0.0
13;15228;13;1;1.0;0.0
14;15247;14;1;1.0;0.0
15;15265;15;1;1.0;0.0
16;15314;16;1;1.0;0.0
17;15319;17;1;1.0;0.0
18;15328;18;1;1.0;0.0
19;15352;19;1;1.0;0.0
20;15358;20;1;1.0;0.0
21;15379;21;2;2.0;1.0
22;15387;22;1;1.0;0.0
23;15390;23;1;1.0;0.0
24;15446;24;1;1.0;0.0
25;15467;25;2;2.0;1.0
26;15481;26;1;1.0;0.0
27;15487;27;1;1.0;0.0
28;15500;28;1;1.0;0.0
29;15503;29;1;1.0;0.0
30;15508;30;1;1.0;0.0
31;15511;31;1;1.0;0.0
32;15549;32;1;1.0;0.0
33;15552;33;1;1.0;0.0
34;15560;34;2;2.0;1.0
35;15568;35;2;2.0;1.0
36;15590;36;1;1.0;0.0
37;15594;37;1;1.0;0.0
38;15603;38;2;2.0;1.0
39;15627;39;1;1.0;0.0
40;15648;40;1;1.0;0.0
41;15663;41;1;1.0;0.0
42;15666;42;1;1.0;0.0
43;15670;43;3;3.0;1.4142135623730951
44;15679;44;1;1.0;0.0
45;15681;45;1;1.0;0.0
46;15691;46;1;1.0;0.0
47;15708;47;2;2.0;1.0
48;15716;48;1;1.0;0.0
49;15734;49;1;1.0;0.0
50;15748;50;1;1.0;0.0
51;15757;51;1;1.0;0.0
52;15764;52;1;1.0;0.0
53;15819;53;2;2.0;1.0
54;15861;54;1;1.0;0.0
55;15867;55;2;2.0;1.0
56;15935;56;1;1.0;0.0
57;15998;57;1;1.0;0.0
58;16003;58;1;1.0;0.0
59;16026;59;1;1.0;0.0
60;16042;60;1;1.0;0.0
61;16070;61;1;1.0;0.0
62;16075;62;2;2.0;1.0
63;16094;63;3;3.0;1.4142135623730951
64;16121;64;2;2.0;1.0
65;16144;65;1;1.0;0.0
66;16168;66;2;2.0;1.0
67;16181;67;1;1.0;0.0
68;16193;68;1;1.0;0.0
69;16222;69;1;1.0;0.0
70;16229;70;1;1.0;0.0
71;16237;71;1;1.0;0.0
72;16245;72;2;2.0;1.0
73;16285;73;1;1.0;0.0
74;16288;74;1;1.0;0.0
75;16296;75;1;1.0;0.0
76;16304;76;1;1.0;0.0
77;16315;77;1;1.0;0.0
78;16349;78;2;3.0;1.0
79;16353;79;1;1.0;0.0
80;16361;80;1;1.0;0.0
81;16376;81;2;2.0;1.0
82;16392;82;2;2.0;1.0
83;16396;83;1;1.0;0.0
84;16413;84;1;1.0;0.0
85;16427;85;1;1.0;0.0
86;16451;86;1;1.0;0.0
87;16454;87;1;1.0;0.0
88;16504;88;1;1.0;0.0
89;16509;89;2;2.0;1.0
90;16531;90;1;1.0;0.0
91;16546;91;1;1.0;0.0
92;16550;92;1;1.0;0.0
93;16553;93;1;1.0;0.0
94;16585;94;1;1.0;0.0
95;16591;95;2;2.0;1.0
96;16597;96;1;1.0;0.0
97;16605;97;1;1.0;0.0
98;16694;98;1;1.0;0.0
99;16700;99;1;1.0;0.0
100;16710;100;1;1.0;0.0
101;16735;101;1;1.0;0.0
102;16772;102;2;2.0;1.0
103;16785;103;3;3.0;1.4142135623730951
104;16791;104;1;1.0;0.0
105;16831;105;1;1.0;0.0
106;16836;106;2;2.0;1.0
107;16849;107;1;1.0;0.0
108;16863;108;1;1.0;0.0
109;16865;109;1;1.0;0.0
110;16880;110;1;1.0;0.0
111;16907;111;1;1.0;0.0
112;16910;112;1;1.0;0.0
113;16916;113;1;1.0;0.0
114;16924;114;1;1.0;0.0
115;16927;115;1;1.0;0.0
116;16951;116;1;1.0;0.0
117;16959;117;1;1.0;0.0
118;16968;118;4;4.0;3.0
119;16998;119;1;1.0;0.0
120;17014;120;1;1.0;0.0
121;17018;121;2;2.0;1.0
122;17021;122;1;1.0;0.0
123;17035;123;1;1.0;0.0
124;17037;124;1;1.0;0.0
125;17050;125;1;1.0;0.0
126;17063;126;1;1.0;0.0
127;17077;127;1;1.0;0.0
128;17082;128;2;2.0;1.0
129;17088;129;2;2.0;1.0
130;17113;130;1;1.0;0.0
131;17118;131;1;1.0;0.0
132;17130;132;1;1.0;0.0
133;17140;133;2;3.0;1.0
134;17169;134;1;1.0;0.0
135;17181;135;2;2.0;1.0
136;17190;136;1;1.0;0.0
137;17194;137;1;1.0;0.0
138;17202;138;1;1.0;0.0
139;17218;139;4;5.0;2.23606797749979
140;17227;140;1;1.0;0.0
141;17235;141;1;1.0;0.0
142;17247;142;1;1.0;0.0
143;17255;143;1;1.0;0.0
144;17265;144;1;1.0;0.0
145;17270;145;1;1.0;0.0
146;17280;146;2;2.0;1.0
147;17299;147;1;1.0;0.0
148;17308;148;1;1.0;0.0
149;17329;149;1;1.0;0.0
150;17339;150;1;1.0;0.0
151;17358;151;1;1.0;0.0
152;17360;152;1;1.0;0.0
153;17376;153;1;1.0;0.0
154;17382;154;3;4.0;1.4142135623730951
155;17408;155;1;1.0;0.0
156;17421;156;1;1.0;0.0
157;17423;157;1;1.0;0.0
158;17447;158;2;2.0;1.0
159;17452;159;1;1.0;0.0
160;17456;160;1;1.0;0.0
161;17460;161;1;1.0;0.0
162;17466;162;1;1.0;0.0
163;17468;163;2;2.0;1.0
164;17492;164;1;1.0;0.0
165;17502;165;2;3.0;1.0
166;17507;166;3;4.0;1.4142135623730951
167;17513;167;1;1.0;0.0
168;17524;168;1;1.0;0.0
169;17532;169;3;4.0;2.0
170;17545;170;1;1.0;0.0
171;17548;171;1;1.0;0.0
172;17552;172;1;1.0;0.0
173;17556;173;1;1.0;0.0
174;17582;174;1;1.0;0.0
175;17601;175;1;1.0;0.0
176;17605;176;1;1.0;0.0
177;17607;177;1;1.0;0.0
178;17609;178;1;1.0;0.0
179;17618;179;2;2.0;1.0
180;17640;180;1;1.0;0.0
181;17680;181;2;2.0;1.0
182;17706;182;1;1.0;0.0
183;17721;183;1;1.0;0.0
184;17725;184;2;2.0;1.0
185;17728;185;1;1.0;0.0
186;17745;186;1;1.0;0.0
187;17757;187;2;2.0;1.0
188;17770;188;1;1.0;0.0
189;17779;189;1;1.0;0.0
190;17801;190;1;1.0;0.0
191;17804;191;1;1.0;0.0
192;17813;192;1;1.0;0.0
193;17863;193;1;1.0;0.0
194;17873;194;2;2.0;1.0
195;17877;195;3;4.0;1.4142135623730951
196;17883;196;1;1.0;0.0
197;17905;197;2;2.0;1.0
198;17912;198;3;3.0;2.0
199;17931;199;4;4.0;1.4142135623730951
200;17955;200;1;1.0;0.0
201;17958;201;1;1.0;0.0
202;17960;202;1;1.0;0.0
203;17965;203;1;1.0;0.0
204;17991;204;2;2.0;1.0
205;17994;205;1;1.0;0.0
206;17997;206;2;2.0;1.0
207;18006;207;1;1.0;0.0
208;18008;208;2;2.0;1.0
209;18027;209;1;1.0;0.0
210;18045;210;1;1.0;0.0
211;18047;211;1;1.0;0.0
212;18051;212;2;2.0;1.0
213;18067;213;1;1.0;0.0
214;18078;214;1;1.0;0.0
215;18080;215;1;1.0;0.0
216;18102;216;2;2.0;1.0
217;18105;217;1;1.0;0.0
218;18107;218;1;1.0;0.0
219;18119;219;1;1.0;0.0
220;18141;220;1;1.0;0.0
221;18148;221;1;1.0;0.0
222;18152;222;1;1.0;0.0
223;18162;223;1;1.0;0.0
224;18177;224;1;1.0;0.0
225;18179;225;1;1.0;0.0
226;18198;226;1;1.0;0.0
227;18214;227;2;2.0;1.0
228;18220;228;2;2.0;1.0
229;18239;229;1;1.0;0.0
230;18241;230;2;2.0;1.0
231;18253;231;1;1.0;0.0
232;18261;232;1;1.0;0.0
233;18268;233;1;1.0;0.0
234;18292;234;1;1.0;0.0
235;18301;235;1;1.0;0.0
236;18303;236;1;1.0;0.0
237;18326;237;1;1.0;0.0
238;18339;238;2;2.0;1.0
239;18360;239;2;2.0;1.0
240;18382;240;3;4.0;1.4142135623730951
241;18389;241;2;2.0;1.0
242;18397;242;1;1.0;0.0
243;18400;243;4;4.0;2.23606797749979
244;18406;244;1;1.0;0.0
245;18408;245;2;2.0;1.0
246;18434;246;1;1.0;0.0
247;18451;247;1;1.0;0.0
248;18454;248;1;1.0;0.0
249;18513;249;3;3.0;1.4142135623730951
250;18536;250;1;1.0;0.0
251;18548;251;1;1.0;0.0
252;18553;252;1;1.0;0.0
253;18568;253;1;1.0;0.0
254;18572;254;2;2.0;1.0
255;18582;255;4;4.0;2.23606797749979
256;18593;256;1;1.0;0.0
257;18600;257;1;1.0;0.0
258;18622;258;1;1.0;0.0
259;18626;259;1;1.0;0.0
260;18637;260;1;1.0;0.0
261;18648;261;1;1.0;0.0
262;18706;262;1;1.0;0.0
263;18724;263;1;1.0;0.0
264;18728;264;3;4.0;2.0
265;18732;265;1;1.0;0.0
266;18753;266;1;1.0;0.0
267;18758;267;3;5.0;2.0
268;18790;268;1;1.0;0.0
269;18808;269;1;1.0;0.0
270;18819;270;3;3.0;1.4142135623730951
271;18829;271;1;1.0;0.0
272;18859;272;1;1.0;0.0
273;18890;273;2;2.0;1.0
274;18899;274;1;1.0;0.0
275;18907;275;2;2.0;1.0
276;18912;276;1;1.0;0.0
277;18915;277;1;1.0;0.0
278;18921;278;2;2.0;1.0
279;18928;279;1;1.0;0.0
280;18935;280;1;1.0;0.0
281;18937;281;3;4.0;1.4142135623730951
282;18951;282;1;1.0;0.0
283;18957;283;1;1.0;0.0
284;18967;284;1;1.0;0.0
285;18969;285;1;1.0;0.0
286;18987;286;4;4.0;3.0
287;19002;287;1;1.0;0.0
288;19039;288;2;2.0;1.0
289;19058;289;6;7.0;3.1622776601683795
290;19069;290;1;1.0;0.0
291;19089;291;2;2.0;1.0
292;19116;292;1;1.0;0.0
293;19132;293;1;1.0;0.0
294;19137;294;1;1.0;0.0
295;19149;295;1;1.0;0.0
296;19155;296;1;1.0;0.0
297;19174;297;1;1.0;0.0
298;19185;298;2;2.0;1.0
299;19195;299;1;1.0;0.0
300;19200;300;1;1.0;0.0
301;19232;301;2;2.0;1.0
302;19236;302;2;3.0;1.0
303;19240;303;1;1.0;0.0
304;19253;304;2;2.0;1.0
305;19267;305;3;4.0;1.4142135623730951
306;19271;306;1;1.0;0.0
307;19281;307;2;2.0;1.0
308;19287;308;1;1.0;0.0
309;19302;309;1;1.0;0.0
310;19309;310;2;3.0;1.0
311;19316;311;1;1.0;0.0
312;19334;312;1;1.0;0.0
313;19343;313;2;2.0;1.0
314;19365;314;3;4.0;2.0
315;19371;315;2;2.0;1.0
316;19390;316;1;1.0;0.0
317;19398;317;1;1.0;0.0
318;19402;318;1;1.0;0.0
319;19409;319;2;2.0;1.0
320;19418;320;2;2.0;1.0
321;19426;321;1;1.0;0.0
322;19428;322;1;1.0;0.0
323;19434;323;2;2.0;1.0
324;19445;324;1;1.0;0.0
325;19448;325;1;1.0;0.0
326;19469;326;3;3.0;1.4142135623730951
327;19476;327;1;1.0;0.0
328;19522;328;3;4.0;1.4142135623730951
329;19527;329;3;3.0;1.4142135623730951
330;19537;330;2;2.0;1.0
331;19544;331;2;3.0;1.0
332;19548;332;1;1.0;0.0
333;19557;333;1;1.0;0.0
334;19564;334;1;1.0;0.0
335;19569;335;1;1.0;0.0
336;19572;336;1;1.0;0.0
337;19579;337;1;1.0;0.0
338;19585;338;1;1.0;0.0
339;19596;339;1;1.0;0.0
340;19606;340;1;1.0;0.0
341;19609;341;1;1.0;0.0
342;19621;342;2;2.0;1.0
343;19629;343;2;2.0;1.0
344;19644;344;1;1.0;0.0
345;19649;345;2;2.0;1.0
346;19663;346;1;1.0;0.0
347;19669;347;2;2.0;1.0
348;19674;348;3;3.0;1.4142135623730951
349;19681;349;1;1.0;0.0
350;19689;350;2;2.0;1.0
351;19705;351;1;1.0;0.0
352;19713;352;1;1.0;0.0
353;19720;353;1;1.0;0.0
354;19746;354;1;1.0;0.0
355;19753;355;1;1.0;0.0
356;19766;356;1;1.0;0.0
357;19776;357;1;1.0;0.0
358;19810;358;1;1.0;0.0
359;19826;359;2;3.0;1.0
360;19845;360;1;1.0;0.0
361;19848;361;1;1.0;0.0
362;19861;362;1;1.0;0.0
363;19866;363;1;1.0;0.0
364;19872;364;2;2.0;1.0
365;19899;365;1;1.0;0.0
366;19903;366;2;2.0;1.0
367;19930;367;2;2.0;1.0
368;19938;368;2;3.0;1.0
369;19953;369;1;1.0;0.0
370;19977;370;2;2.0;1.0
371;19991;371;1;1.0;0.0
372;20009;372;1;1.0;0.0
373;20011;373;2;2.0;1.0
374;20014;374;1;1.0;0.0
375;20019;375;3;4.0;1.4142135623730951
376;20035;376;1;1.0;0.0
377;20039;377;2;2.0;1.0
378;20050;378;1;1.0;0.0
379;20069;379;1;1.0;0.0
380;20084;380;1;1.0;0.0
381;20088;381;2;2.0;1.0
382;20095;382;5;5.0;2.0
383;20102;383;1;1.0;0.0
384;20118;384;1;1.0;0.0
385;20125;385;1;1.0;0.0
386;20134;386;5;5.0;2.23606797749979
387;20153;387;1;1.0;0.0
388;20164;388;5;5.0;3.1622776601683795
389;20176;389;2;3.0;1.0
390;20182;390;2;2.0;1.0
391;20200;391;1;1.0;0.0
392;20208;392;1;1.0;0.0
393;20210;393;1;1.0;0.0
394;20219;394;2;2.0;1.0
395;20232;395;1;1.0;0.0
396;20252;396;2;2.0;1.0
397;20257;397;1;1.0;0.0
398;20283;398;2;2.0;1.0
399;20287;399;3;3.0;1.4142135623730951
400;20296;400;1;1.0;0.0
401;20318;401;2;3.0;1.0
402;20330;402;2;2.0;1.0
403;20339;403;1;1.0;0.0
404;20345;404;1;1.0;0.0
405;20357;405;1;1.0;0.0
406;20367;406;1;1.0;0.0
407;20386;407;1;1.0;0.0
408;20396;408;1;1.0;0.0
409;20403;409;1;1.0;0.0
410;20405;410;2;2.0;1.0
411;20418;411;1;1.0;0.0
412;20426;412;3;3.0;2.0
413;20437;413;1;1.0;0.0
414;20441;414;1;1.0;0.0
415;20443;415;3;4.0;2.0
416;20448;416;2;2.0;1.0
417;20459;417;1;1.0;0.0
418;20469;418;1;1.0;0.0
419;20472;419;3;4.0;2.0
420;20479;420;1;1.0;0.0
421;20490;421;1;1.0;0.0
422;20494;422;1;1.0;0.0
423;20499;423;1;1.0;0.0
424;20508;424;3;3.0;1.4142135623730951
425;20516;425;1;1.0;0.0
426;20518;426;3;3.0;2.0
427;20526;427;2;3.0;1.0
428;20534;428;1;1.0;0.0
429;20536;429;3;3.0;1.4142135623730951
430;20540;430;2;2.0;1.0
431;20563;431;5;5.0;2.8284271247461903
432;20585;432;2;2.0;1.0
433;20589;433;3;3.0;2.0
434;20612;434;1;1.0;0.0
435;20640;435;1;1.0;0.0
436;20650;436;1;1.0;0.0
437;20656;437;1;1.0;0.0
438;20658;438;2;2.0;1.0
439;20667;439;1;1.0;0.0
440;20676;440;1;1.0;0.0
441;20679;441;2;2.0;1.0
442;20682;442;1;1.0;0.0
443;20685;443;1;1.0;0.0
444;20690;444;1;1.0;0.0
445;20702;445;1;1.0;0.0
446;20704;446;1;1.0;0.0
447;20707;447;4;7.0;2.0
448;20732;448;1;1.0;0.0
449;20761;449;2;2.0;1.0
450;20765;450;2;2.0;1.0
451;20784;451;3;4.0;1.4142135623730951
452;20795;452;3;5.0;2.0
453;20800;453;3;3.0;1.4142135623730951
454;20804;454;1;1.0;0.0
455;20822;455;3;3.0;1.4142135623730951
456;20827;456;1;1.0;0.0
457;20853;457;2;2.0;1.0
458;20879;458;3;3.0;1.4142135623730951
459;20897;459;1;1.0;0.0
460;20899;460;4;4.0;1.4142135623730951
461;20926;461;2;2.0;1.0
462;20933;462;1;1.0;0.0
463;20936;463;1;1.0;0.0
464;20940;464;1;1.0;0.0
465;20942;465;1;1.0;0.0
466;20958;466;1;1.0;0.0
467;20964;467;1;1.0;0.0
468;20972;468;1;1.0;0.0
469;20984;469;1;1.0;0.0
470;20990;470;1;1.0;0.0
471;20994;471;4;5.0;2.23606797749979
472;20999;472;1;1.0;0.0
473;21004;473;1;1.0;0.0
474;21011;474;4;4.0;2.23606797749979
475;21033;475;1;1.0;0.0
476;21041;476;1;1.0;0.0
477;21043;477;1;1.0;0.0
478;21047;478;1;1.0;0.0
479;21049;479;2;2.0;1.0
480;21052;480;1;1.0;0.0
481;21059;481;3;3.0;2.0
482;21068;482;1;1.0;0.0
483;21072;483;1;1.0;0.0
484;21082;484;1;1.0;0.0
485;21084;485;1;1.0;0.0
486;21091;486;1;1.0;0.0
487;21102;487;1;1.0;0.0
488;21107;488;2;2.0;1.0
489;21116;489;1;1.0;0.0
490;21122;490;2;3.0;1.0
491;21128;491;1;1.0;0.0
492;21133;492;2;2.0;1.0
493;21136;493;1;1.0;0.0
494;21142;494;1;1.0;0.0
495;21146;495;4;6.0;2.23606797749979
496;21162;496;1;1.0;0.0
497;21177;497;3;4.0;2.0
498;21184;498;1;1.0;0.0
499;21187;499;3;3.0;1.4142135623730951
500;21198;500;1;1.0;0.0
501;21201;501;1;1.0;0.0
502;21205;502;2;2.0;1.0
503;21215;503;2;2.0;1.0
504;21233;504;1;1.0;0.0
505;21237;505;1;1.0;0.0
506;21255;506;2;2.0;1.0
507;21265;507;1;1.0;0.0
508;21268;508;1;1.0;0.0
509;21286;509;1;1.0;0.0
510;21288;510;5;5.0;3.1622776601683795
511;21301;511;1;1.0;0.0
512;21303;512;3;4.0;2.0
513;21321;513;2;2.0;1.0
514;21326;514;1;1.0;0.0
515;21333;515;3;3.0;1.4142135623730951
516;21353;516;1;1.0;0.0
517;21372;517;1;1.0;0.0
518;21377;518;2;2.0;1.0
519;21386;519;1;1.0;0.0
520;21395;520;2;2.0;1.0
521;21403;521;2;2.0;1.0
522;21406;522;2;2.0;1.0
523;21420;523;1;1.0;0.0
524;21424;524;1;1.0;0.0
525;21432;525;1;1.0;0.0
526;21441;526;3;3.0;1.4142135623730951
527;21449;527;2;2.0;1.0
528;21456;528;1;1.0;0.0
529;21461;529;1;1.0;0.0
530;21464;530;2;2.0;1.0
531;21469;531;2;2.0;1.0
532;21477;532;2;2.0;1.0
533;21484;533;2;2.0;1.0
534;21492;534;3;3.0;2.0
535;21507;535;2;2.0;1.0
536;21513;536;1;1.0;0.0
537;21516;537;1;1.0;0.0
538;21520;538;1;1.0;0.0
539;21525;539;4;4.0;2.23606797749979
540;21532;540;2;2.0;1.0
541;21551;541;1;1.0;0.0
542;21560;542;1;1.0;0.0
543;21563;543;3;3.0;1.4142135623730951
544;21574;544;2;2.0;1.0
545;21588;545;2;2.0;1.0
546;21606;546;1;1.0;0.0
547;21612;547;2;2.0;1.0
548;21621;548;1;1.0;0.0
549;21624;549;2;2.0;1.0
550;21628;550;1;1.0;0.0
551;21630;551;2;2.0;1.0
552;21634;552;1;1.0;0.0
553;21650;553;1;1.0;0.0
554;21656;554;1;1.0;0.0
555;21662;555;1;1.0;0.0
556;21676;556;1;1.0;0.0
557;21678;557;6;7.0;2.23606797749979
558;21757;558;1;1.0;0.0
559;21776;559;2;2.0;1.0
560;21780;560;4;4.0;1.4142135623730951
561;21788;561;1;1.0;0.0
562;21791;562;1;1.0;0.0
563;21793;563;2;3.0;1.0
564;21797;564;2;2.0;1.0
565;21800;565;1;1.0;0.0
566;21805;566;3;4.0;1.4142135623730951
567;21810;567;1;1.0;0.0
568;21822;568;1;1.0;0.0
569;21832;569;3;4.0;1.4142135623730951
570;21858;570;1;1.0;0.0
571;21863;571;1;1.0;0.0
572;21873;572;1;1.0;0.0
573;21875;573;1;1.0;0.0
574;21895;574;1;1.0;0.0
575;21897;575;1;1.0;0.0
576;21903;576;2;2.0;1.0
577;21913;577;1;1.0;0.0
578;21916;578;3;3.0;1.4142135623730951
579;21934;579;1;1.0;0.0
580;21941;580;2;3.0;1.0
581;21952;581;1;1.0;0.0
582;21976;582;3;8.0;1.4142135623730951
583;21984;583;4;6.0;2.23606797749979
584;22004;584;3;4.0;2.0
585;22013;585;2;2.0;1.0
586;22020;586;3;6.0;1.4142135623730951
587;22029;587;2;2.0;1.0
588;22037;588;2;2.0;1.0
589;22066;589;2;3.0;1.0
590;22075;590;1;1.0;0.0
591;22081;591;2;2.0;1.0
592;22095;592;1;1.0;0.0
593;22097;593;2;2.0;1.0
594;22128;594;7;11.0;3.605551275463989
595;22145;595;1;1.0;0.0
596;22148;596;2;2.0;1.0
597;22158;597;2;3.0;1.0
598;22175;598;2;2.0;1.0
599;22187;599;2;2.0;1.0
600;22195;600;1;1.0;0.0
601;22203;601;1;1.0;0.0
602;22213;602;1;1.0;0.0
603;22219;603;1;1.0;0.0
604;22221;604;2;2.0;1.0
605;22227;605;2;2.0;1.0
606;22235;606;1;1.0;0.0
607;22241;607;1;1.0;0.0
608;22245;608;2;2.0;1.0
609;22248;609;2;2.0;1.0
610;22252;610;1;1.0;0.0
611;22261;611;3;4.0;2.0
612;22272;612;1;1.0;0.0
613;22285;613;1;1.0;0.0
614;22293;614;3;3.0;2.0
615;22305;615;1;1.0;0.0
616;22311;616;1;1.0;0.0
617;22319;617;2;2.0;1.0
618;22326;618;1;1.0;0.0
619;22335;619;1;1.0;0.0
620;22337;620;1;1.0;0.0
621;22339;621;3;4.0;1.4142135623730951
622;22344;622;2;2.0;1.0
623;22364;623;4;4.0;1.4142135623730951
624;22374;624;3;3.0;1.4142135623730951
625;22381;625;1;1.0;0.0
626;22391;626;4;4.0;2.23606797749979
627;22399;627;2;2.0;1.0
628;22410;628;1;1.0;0.0
629;22415;629;1;1.0;0.0
630;22418;630;1;1.0;0.0
631;22420;631;5;5.0;2.23606797749979
632;22428;632;2;2.0;1.0
633;22437;633;1;1.0;0.0
634;22439;634;1;1.0;0.0
635;22441;635;2;2.0;1.0
636;22447;636;1;1.0;0.0
637;22463;637;1;1.0;0.0
638;22465;638;1;1.0;0.0
639;22475;639;2;2.0;1.0
640;22492;640;2;3.0;1.0
641;22499;641;1;1.0;0.0
642;22504;642;1;1.0;0.0
643;22518;643;2;2.0;1.0
644;22522;644;1;1.0;0.0
645;22530;645;1;1.0;0.0
646;22533;646;2;2.0;1.0
647;22537;647;2;2.0;1.0
648;22554;648;3;4.0;2.0
649;22563;649;1;1.0;0.0
650;22588;650;1;1.0;0.0
651;22598;651;1;1.0;0.0
652;22610;652;3;4.0;2.0
653;22619;653;1;1.0;0.0
654;22621;654;4;4.0;2.23606797749979
655;22629;655;1;1.0;0.0
656;22640;656;1;1.0;0.0
657;22648;657;3;3.0;1.4142135623730951
658;22657;658;1;1.0;0.0
659;22664;659;3;5.0;1.4142135623730951
660;22673;660;1;1.0;0.0
661;22678;661;4;4.0;2.23606797749979
662;22693;662;1;1.0;0.0
663;22697;663;1;1.0;0.0
664;22703;664;1;1.0;0.0
665;22709;665;1;1.0;0.0
666;22722;666;1;1.0;0.0
667;22740;667;2;2.0;1.0
668;22745;668;2;3.0;1.0
669;22751;669;1;1.0;0.0
670;22761;670;2;2.0;1.0
671;22774;671;1;1.0;0.0
672;22786;672;1;1.0;0.0
673;22803;673;1;1.0;0.0
674;22815;674;2;2.0;1.0
675;22828;675;5;6.0;2.8284271247461903
676;22834;676;2;2.0;1.0
677;22856;677;1;1.0;0.0
678;22866;678;1;1.0;0.0
679;22873;679;1;1.0;0.0
680;22875;680;4;4.0;1.4142135623730951
681;22880;681;2;2.0;1.0
682;22883;682;2;2.0;1.0
683;22888;683;2;2.0;1.0
684;22891;684;1;1.0;0.0
685;22913;685;1;1.0;0.0
686;22934;686;3;3.0;1.4142135623730951
687;22942;687;3;3.0;1.4142135623730951
688;22949;688;2;2.0;1.0
689;22954;689;1;1.0;0.0
690;22966;690;1;1.0;0.0
691;22968;691;4;6.0;2.23606797749979
692;22974;692;2;2.0;1.0
693;22984;693;1;1.0;0.0
694;22999;694;1;1.0;0.0
695;23011;695;1;1.0;0.0
696;23022;696;7;9.0;3.1622776601683795
697;23033;697;4;4.0;2.23606797749979
698;23038;698;1;1.0;0.0
699;23048;699;2;2.0;1.0
700;23052;700;2;2.0;1.0
701;23068;701;4;5.0;1.4142135623730951
702;23081;702;1;1.0;0.0
703;23085;703;1;1.0;0.0
704;23092;704;2;2.0;1.0
705;23097;705;1;1.0;0.0
706;23106;706;3;3.0;2.0
707;23119;707;1;1.0;0.0
708;23124;708;4;4.0;2.23606797749979
709;23141;709;2;2.0;1.0
710;23146;710;6;6.0;2.8284271247461903
711;23156;711;3;3.0;2.0
712;23166;712;1;1.0;0.0
713;23184;713;2;2.0;1.0
714;23193;714;1;1.0;0.0
715;23196;715;2;2.0;1.0
716;23205;716;4;5.0;2.23606797749979
717;23210;717;1;1.0;0.0
718;23212;718;4;6.0;2.23606797749979
719;23219;719;2;2.0;1.0
720;23230;720;1;1.0;0.0
721;23253;721;1;1.0;0.0
722;23255;722;3;3.0;2.0
723;23262;723;2;2.0;1.0
724;23268;724;1;1.0;0.0
725;23271;725;4;5.0;2.23606797749979
726;23287;726;1;1.0;0.0
727;23296;727;1;1.0;0.0
728;23298;728;1;1.0;0.0
729;23302;729;1;1.0;0.0
730;23315;730;1;1.0;0.0
731;23324;731;3;3.0;2.0
732;23333;732;3;3.0;2.0
733;23337;733;1;1.0;0.0
734;23347;734;1;1.0;0.0
735;23350;735;2;3.0;1.0
736;23356;736;1;1.0;0.0
737;23359;737;7;9.0;2.23606797749979
738;23369;738;2;2.0;1.0
739;23377;739;1;1.0;0.0
740;23391;740;8;16.0;4.123105625617661
741;23403;741;2;2.0;1.0
742;23409;742;7;13.0;4.47213595499958
743;23418;743;1;1.0;0.0
744;23431;744;2;3.0;1.0
745;23446;745;1;1.0;0.0
746;23453;746;1;1.0;0.0
747;23456;747;1;1.0;0.0
748;23459;748;1;1.0;0.0
749;23470;749;2;2.0;1.0
750;23476;750;1;1.0;0.0
751;23482;751;4;5.0;2.23606797749979
752;23491;752;1;1.0;0.0
753;23493;753;4;4.0;1.4142135623730951
754;23507;754;1;1.0;0.0
755;23509;755;3;3.0;1.4142135623730951
756;23515;756;1;1.0;0.0
757;23517;757;5;5.0;2.23606797749979
758;23537;758;2;2.0;1.0
759;23543;759;1;1.0;0.0
760;23558;760;1;1.0;0.0
761;23561;761;3;5.0;1.4142135623730951
762;23568;762;5;7.0;3.1622776601683795
763;23586;763;2;2.0;1.0
764;23600;764;5;5.0;2.23606797749979
765;23609;765;2;2.0;1.0
766;23612;766;1;1.0;0.0
767;23627;767;4;5.0;2.23606797749979
768;23635;768;1;1.0;0.0
769;23637;769;2;2.0;1.0
770;23641;770;2;2.0;1.0
771;23650;771;2;2.0;1.0
772;23667;772;5;6.0;4.0
773;23673;773;1;1.0;0.0
774;23694;774;2;2.0;1.0
775;23709;775;1;1.0;0.0
776;23716;776;3;5.0;1.4142135623730951
777;23724;777;1;1.0;0.0
778;23727;778;2;2.0;1.0
779;23745;779;1;1.0;0.0
780;23751;780;1;1.0;0.0
781;23754;781;1;1.0;0.0
782;23761;782;4;5.0;1.4142135623730951
783;23772;783;1;1.0;0.0
784;23782;784;1;1.0;0.0
785;23786;785;1;1.0;0.0
786;23791;786;1;1.0;0.0
787;23807;787;5;7.0;2.8284271247461903
788;23816;788;4;5.0;2.23606797749979
789;23822;789;1;1.0;0.0
790;23831;790;1;1.0;0.0
791;23833;791;1;1.0;0.0
792;23840;792;4;4.0;2.23606797749979
793;23851;793;2;2.0;1.0
794;23858;794;2;2.0;1.0
795;23862;795;2;2.0;1.0
796;23868;796;5;6.0;2.8284271247461903
